Tanggal,Nama Produk,Jenis Transaksi,Dibuat,Terjual,Harga,Modal Satuan,Pemasukan,Pengeluaran
8/3/2021,wingko,harian,35,31,3131.0,1200,67526.0,27690.0
8/3/2021,lemper,harian,15,12,2107.0,1200,16370.0,19301.0
9/3/2021,bolu kukus,harian,22,20,1631.0,1200,31689.0,29017.0
9/3/2021,kue lapis,harian,10,4,2287.0,1100,8074.0,9495.0
9/3/2021,kue soes,pesanan,39,35,2103.0,1300,71138.0,45639.0
9/3/2021,risoles,harian,50,49,2403.0,1100,82254.0,55061.0
9/3/2021,tahu isi,harian,47,43,3533.0,1100,68644.0,44703.0
9/3/2021,kue lumpur,harian,10,5,1131.0,1200,10317.0,15145.0
9/3/2021,wingko,harian,34,31,2211.0,1200,73650.0,27025.0
9/3/2021,lemper,harian,17,11,1308.0,1200,21947.0,23865.0
10/3/2021,bolu kukus,harian,42,42,2245.0,1200,118191.0,51809.0
10/3/2021,kue lapis,harian,13,9,2798.0,1100,19266.0,7020.0
10/3/2021,kue soes,harian,50,48,2462.0,1300,134900.0,48401.0
10/3/2021,risoles,harian,38,36,1414.0,1100,92281.0,43070.0
10/3/2021,tahu isi,harian,29,24,3234.0,1100,39880.0,24973.0
10/3/2021,kue lumpur,harian,28,21,2583.0,1200,61507.0,27020.0
10/3/2021,wingko,pesanan,42,38,1613.0,1200,106413.0,47988.0
10/3/2021,lemper,harian,16,11,2461.0,1200,23218.0,15750.0
11/3/2021,bolu kukus,pesanan,13,11,2065.0,1200,18936.0,19805.0
11/3/2021,kue lapis,harian,21,19,1460.0,1100,19604.0,31868.0
11/3/2021,kue soes,pesanan,33,29,2944.0,1300,71844.0,37005.0
11/3/2021,risoles,harian,34,32,1745.0,1100,61749.0,30096.0
11/3/2021,tahu isi,harian,39,33,1667.0,1100,78428.0,33261.0
11/3/2021,kue lumpur,harian,34,30,2486.0,1200,38355.0,47621.0
11/3/2021,wingko,harian,21,16,3787.0,1200,25143.0,24401.0
11/3/2021,lemper,harian,40,37,1575.0,1200,59939.0,38808.0
12/3/2021,bolu kukus,harian,46,42,1400.0,1200,98117.0,71051.0
12/3/2021,kue lapis,harian,47,43,2937.0,1100,53341.0,58228.0
12/3/2021,kue soes,harian,41,38,3359.0,1300,92892.0,64309.0
12/3/2021,risoles,pesanan,31,29,1802.0,1100,57201.0,28732.0
12/3/2021,tahu isi,harian,12,5,2237.0,1100,7295.0,10961.0
12/3/2021,kue lumpur,harian,35,32,2377.0,1200,47810.0,50153.0
12/3/2021,wingko,harian,49,44,1519.0,1200,103687.0,65493.0
12/3/2021,lemper,harian,38,34,1749.0,1200,40201.0,30794.0
13/03/2021,bolu kukus,harian,19,18,1809.0,1200,40460.0,28196.0
13/03/2021,kue lapis,harian,43,37,2076.0,1100,99364.0,54040.0
13/03/2021,kue soes,pesanan,24,22,2024.0,1300,41518.0,34247.0
13/03/2021,risoles,harian,44,41,1750.0,1100,110910.0,52292.0
13/03/2021,tahu isi,harian,25,20,2313.0,1100,36500.0,27858.0
13/03/2021,kue lumpur,harian,47,43,2251.0,1200,90399.0,71601.0
13/03/2021,wingko,harian,27,21,2559.0,1200,31682.0,28273.0
13/03/2021,lemper,harian,10,4,3005.0,1200,5999.0,12844.0
15/03/2021,bolu kukus,harian,39,37,2344.0,1200,67955.0,34309.0
15/03/2021,kue lapis,harian,26,21,2101.0,1100,38939.0,33283.0
15/03/2021,kue soes,harian,38,35,2217.0,1300,100499.0,62990.0
15/03/2021,risoles,pesanan,36,32,2466.0,1100,95559.0,53017.0
15/03/2021,tahu isi,pesanan,22,18,1566.0,1100,24877.0,16280.0
15/03/2021,kue lumpur,harian,41,35,1707.0,1200,21662.0,45666.0
15/03/2021,wingko,pesanan,34,32,2456.0,1200,47984.0,35332.0
15/03/2021,lemper,pesanan,32,26,2584.0,1200,31216.0,46963.0
16/03/2021,bolu kukus,harian,49,46,2254.0,1200,89619.0,27565.0
16/03/2021,kue lapis,harian,45,38,2416.0,1100,67984.0,62599.0
16/03/2021,kue soes,harian,45,45,3089.0,1300,81596.0,43667.0
16/03/2021,risoles,harian,11,9,2495.0,1100,19818.0,12257.0
16/03/2021,tahu isi,harian,40,37,1338.0,1100,32648.0,33155.0
16/03/2021,kue lumpur,pesanan,21,19,1925.0,1200,46524.0,30896.0
16/03/2021,wingko,harian,30,23,1290.0,1200,40325.0,32470.0
16/03/2021,lemper,harian,45,39,2523.0,1200,81788.0,48495.0
17/03/2021,bolu kukus,harian,29,25,1194.0,1200,34797.0,28030.0
17/03/2021,kue lapis,harian,44,38,1969.0,1100,66034.0,97491.0
17/03/2021,kue soes,harian,31,30,3733.0,1300,98836.0,52088.0
17/03/2021,risoles,harian,11,10,2469.0,1100,19066.0,10673.0
17/03/2021,tahu isi,harian,24,22,2928.0,1100,36159.0,28540.0
17/03/2021,kue lumpur,harian,37,31,1219.0,1200,39713.0,51871.0
17/03/2021,wingko,pesanan,17,15,2350.0,1200,43237.0,10995.0
17/03/2021,lemper,harian,18,13,2077.0,1200,29308.0,26241.0
18/03/2021,bolu kukus,harian,26,26,2191.0,1200,37395.0,30854.0
18/03/2021,kue lapis,pesanan,15,13,2066.0,1100,23703.0,18146.0
18/03/2021,kue soes,pesanan,40,36,2653.0,1300,92945.0,62450.0
18/03/2021,risoles,pesanan,27,23,2241.0,1100,77865.0,12611.0
18/03/2021,tahu isi,harian,17,14,1641.0,1100,35173.0,17658.0
18/03/2021,kue lumpur,harian,39,33,2443.0,1200,71150.0,41897.0
18/03/2021,wingko,harian,45,39,3076.0,1200,90703.0,59091.0
18/03/2021,lemper,harian,22,19,1388.0,1200,41159.0,28372.0
19/03/2021,bolu kukus,pesanan,38,38,2196.0,1200,40800.0,65155.0
19/03/2021,kue lapis,harian,37,35,1130.0,1100,69606.0,34385.0
19/03/2021,kue soes,harian,45,42,3633.0,1300,143136.0,46912.0
19/03/2021,risoles,harian,16,16,2496.0,1100,23762.0,26511.0
19/03/2021,tahu isi,pesanan,43,41,1401.0,1100,55164.0,43076.0
19/03/2021,kue lumpur,harian,34,27,1575.0,1200,37530.0,42340.0
19/03/2021,wingko,harian,21,14,2111.0,1200,37789.0,32421.0
19/03/2021,lemper,pesanan,47,45,2308.0,1200,142951.0,78985.0
20/03/2021,bolu kukus,harian,44,42,1638.0,1200,93519.0,37131.0
20/03/2021,kue lapis,pesanan,48,41,1321.0,1100,92064.0,36681.0
20/03/2021,kue soes,harian,24,20,2082.0,1300,36749.0,29199.0
20/03/2021,risoles,harian,12,12,1641.0,1100,17379.0,9260.0
20/03/2021,tahu isi,harian,40,37,1783.0,1100,77801.0,42738.0
20/03/2021,kue lumpur,pesanan,17,10,1285.0,1200,18633.0,19173.0
20/03/2021,wingko,harian,43,37,2269.0,1200,89814.0,75525.0
20/03/2021,lemper,harian,15,9,2139.0,1200,12697.0,17357.0
22/03/2021,bolu kukus,harian,14,13,1275.0,1200,23105.0,8332.0
22/03/2021,kue lapis,harian,48,41,2122.0,1100,66089.0,50310.0
22/03/2021,kue soes,harian,24,22,1650.0,1300,47496.0,33427.0
22/03/2021,risoles,pesanan,37,34,2134.0,1100,64034.0,45753.0
22/03/2021,tahu isi,pesanan,27,24,1290.0,1100,28064.0,28640.0
22/03/2021,kue lumpur,harian,42,37,1737.0,1200,77366.0,68480.0
22/03/2021,wingko,harian,10,8,2433.0,1200,23710.0,14131.0
22/03/2021,lemper,harian,42,40,2498.0,1200,51580.0,53100.0
23/03/2021,bolu kukus,pesanan,23,23,2349.0,1200,32839.0,35886.0
23/03/2021,kue lapis,harian,25,18,2256.0,1100,21355.0,26258.0
23/03/2021,kue soes,harian,48,45,2742.0,1300,61871.0,55314.0
23/03/2021,risoles,harian,44,42,2777.0,1100,60987.0,44808.0
23/03/2021,tahu isi,harian,19,14,2324.0,1100,17391.0,24561.0
23/03/2021,kue lumpur,harian,44,38,1928.0,1200,64659.0,29168.0
23/03/2021,wingko,harian,23,16,1642.0,1200,32157.0,23160.0
23/03/2021,lemper,harian,25,21,3052.0,1200,47016.0,24001.0
24/03/2021,bolu kukus,harian,41,40,1267.0,1200,57267.0,50355.0
24/03/2021,kue lapis,harian,43,40,939.0,1100,72233.0,47412.0
24/03/2021,kue soes,harian,35,35,2103.0,1300,120626.0,56625.0
24/03/2021,risoles,pesanan,25,25,1998.0,1100,34640.0,22489.0
24/03/2021,tahu isi,harian,49,45,2760.0,1100,55432.0,68772.0
24/03/2021,kue lumpur,harian,39,37,2106.0,1200,38406.0,49079.0
24/03/2021,wingko,harian,44,39,1867.0,1200,98984.0,40870.0
24/03/2021,lemper,harian,18,16,2062.0,1200,27464.0,32639.0
25/03/2021,bolu kukus,pesanan,48,47,2234.0,1200,119476.0,45669.0
25/03/2021,kue lapis,harian,46,43,1329.0,1100,125402.0,59387.0
25/03/2021,kue soes,harian,42,40,2871.0,1300,115014.0,56954.0
25/03/2021,risoles,pesanan,34,31,2055.0,1100,56222.0,35521.0
25/03/2021,tahu isi,harian,17,12,1671.0,1100,29984.0,22100.0
25/03/2021,kue lumpur,harian,31,26,2720.0,1200,55008.0,55039.0
25/03/2021,wingko,harian,46,42,1763.0,1200,100743.0,48056.0
25/03/2021,lemper,harian,36,32,1237.0,1200,58660.0,55269.0
26/03/2021,bolu kukus,pesanan,41,38,1682.0,1200,63912.0,49323.0
26/03/2021,kue lapis,harian,22,16,2706.0,1100,32042.0,27126.0
26/03/2021,kue soes,harian,10,9,1623.0,1300,24052.0,10357.0
26/03/2021,risoles,harian,47,46,2181.0,1100,121994.0,30148.0
26/03/2021,tahu isi,harian,46,41,2109.0,1100,92222.0,49282.0
26/03/2021,kue lumpur,pesanan,29,27,1817.0,1200,74966.0,22409.0
26/03/2021,wingko,pesanan,13,9,2712.0,1200,19313.0,15471.0
26/03/2021,lemper,harian,28,24,2565.0,1200,39738.0,41231.0
27/03/2021,bolu kukus,harian,22,20,1080.0,1200,45280.0,34493.0
27/03/2021,kue lapis,harian,43,40,3371.0,1100,65840.0,64851.0
27/03/2021,kue soes,harian,21,18,2140.0,1300,60961.0,39940.0
27/03/2021,risoles,harian,42,41,1434.0,1100,51888.0,39249.0
27/03/2021,tahu isi,harian,17,12,2001.0,1100,24222.0,13461.0
27/03/2021,kue lumpur,harian,41,36,1852.0,1200,58841.0,35507.0
27/03/2021,wingko,harian,25,23,2076.0,1200,42140.0,21382.0
27/03/2021,lemper,harian,33,28,1477.0,1200,46463.0,39043.0
29/03/2021,bolu kukus,harian,21,20,1421.0,1200,36846.0,29695.0
29/03/2021,kue lapis,harian,46,39,2545.0,1100,114256.0,68314.0
29/03/2021,kue soes,pesanan,11,10,1092.0,1300,21310.0,10510.0
29/03/2021,risoles,harian,29,28,1281.0,1100,51758.0,56357.0
29/03/2021,tahu isi,pesanan,22,18,1268.0,1100,19910.0,15666.0
29/03/2021,kue lumpur,harian,46,40,1844.0,1200,92915.0,47870.0
29/03/2021,wingko,harian,34,27,1125.0,1200,51595.0,35853.0
29/03/2021,lemper,harian,15,11,1615.0,1200,17819.0,19856.0
30/03/2021,bolu kukus,harian,18,18,2151.0,1200,41371.0,22929.0
30/03/2021,kue lapis,pesanan,41,35,1997.0,1100,71133.0,45767.0
30/03/2021,kue soes,harian,16,15,2297.0,1300,41311.0,14096.0
30/03/2021,risoles,harian,46,43,1596.0,1100,109033.0,51994.0
30/03/2021,tahu isi,harian,24,20,2132.0,1100,36440.0,37465.0
30/03/2021,kue lumpur,pesanan,28,25,2354.0,1200,32585.0,33112.0
30/03/2021,wingko,pesanan,26,19,2702.0,1200,31920.0,17625.0
30/03/2021,lemper,harian,32,26,1819.0,1200,68410.0,26993.0
31/03/2021,bolu kukus,harian,46,44,2261.0,1200,88696.0,62465.0
31/03/2021,kue lapis,pesanan,26,20,2354.0,1100,51973.0,34430.0
31/03/2021,kue soes,harian,26,25,2526.0,1300,74696.0,31504.0
31/03/2021,risoles,harian,20,19,3103.0,1100,37197.0,25590.0
31/03/2021,tahu isi,harian,22,20,2922.0,1100,44000.0,24047.0
31/03/2021,kue lumpur,harian,24,22,1954.0,1200,44929.0,26080.0
31/03/2021,wingko,harian,39,34,2265.0,1200,102368.0,43469.0
31/03/2021,lemper,harian,38,34,2326.0,1200,90723.0,35828.0
1/4/2021,bolu kukus,pesanan,26,22,1804.0,1200,45264.0,20017.0
1/4/2021,kue lapis,harian,31,24,1968.0,1100,27884.0,43558.0
1/4/2021,kue soes,harian,17,17,2753.0,1300,41304.0,26567.0
1/4/2021,risoles,pesanan,17,16,1697.0,1100,29435.0,15473.0
1/4/2021,tahu isi,harian,46,40,2858.0,1100,63182.0,37717.0
1/4/2021,kue lumpur,harian,19,14,1783.0,1200,26661.0,16749.0
1/4/2021,wingko,harian,29,25,2294.0,1200,63397.0,29221.0
1/4/2021,lemper,harian,39,33,1889.0,1200,26547.0,51488.0
1/4/2021,es pisang ijo,harian,5,3,11482.0,7000,50657.0,36146.0
2/4/2021,bolu kukus,harian,13,11,2915.0,1200,27259.0,25604.0
2/4/2021,kue lapis,harian,46,42,1520.0,1100,91807.0,40861.0
2/4/2021,kue soes,harian,24,20,2784.0,1300,40203.0,33502.0
2/4/2021,risoles,harian,34,32,1961.0,1100,58041.0,42040.0
2/4/2021,tahu isi,pesanan,20,13,2119.0,1100,13681.0,14362.0
2/4/2021,kue lumpur,pesanan,39,32,1717.0,1200,43237.0,79557.0
2/4/2021,wingko,harian,33,27,2517.0,1200,74757.0,26362.0
2/4/2021,lemper,harian,13,11,1802.0,1200,28935.0,14281.0
3/4/2021,bolu kukus,harian,37,35,1903.0,1200,63822.0,40220.0
3/4/2021,kue lapis,harian,11,8,2874.0,1100,21185.0,8099.0
3/4/2021,kue soes,harian,16,13,2528.0,1300,35957.0,23948.0
3/4/2021,risoles,harian,19,16,1803.0,1100,31036.0,24030.0
3/4/2021,tahu isi,pesanan,37,31,1460.0,1100,22139.0,47823.0
3/4/2021,kue lumpur,harian,12,5,2568.0,1200,13561.0,12429.0
3/4/2021,wingko,harian,18,13,1887.0,1200,33702.0,29131.0
3/4/2021,lemper,pesanan,25,22,1903.0,1200,36949.0,30694.0
5/4/2021,bolu kukus,harian,38,36,1245.0,1200,90827.0,34865.0
5/4/2021,kue lapis,harian,35,33,2225.0,1100,52998.0,33687.0
5/4/2021,kue soes,harian,49,45,3092.0,1300,59621.0,68221.0
5/4/2021,risoles,pesanan,10,7,2508.0,1100,17385.0,12638.0
5/4/2021,tahu isi,harian,31,24,2093.0,1100,54621.0,71838.0
5/4/2021,kue lumpur,harian,31,25,1407.0,1200,55647.0,52454.0
5/4/2021,wingko,harian,10,7,3256.0,1200,16224.0,16018.0
5/4/2021,lemper,harian,44,38,2890.0,1200,92693.0,53165.0
6/4/2021,bolu kukus,harian,15,15,2290.0,1200,22194.0,14896.0
6/4/2021,kue lapis,pesanan,37,35,2119.0,1100,80903.0,47896.0
6/4/2021,kue soes,harian,37,36,2891.0,1300,70015.0,65320.0
6/4/2021,risoles,harian,13,12,1697.0,1100,26415.0,9832.0
6/4/2021,tahu isi,harian,21,14,2089.0,1100,35806.0,29948.0
6/4/2021,kue lumpur,harian,19,16,2704.0,1200,38182.0,16867.0
6/4/2021,wingko,harian,37,33,1998.0,1200,58150.0,50093.0
6/4/2021,lemper,harian,28,22,2035.0,1200,32228.0,34724.0
7/4/2021,bolu kukus,harian,31,31,1714.0,1200,68026.0,40171.0
7/4/2021,kue lapis,pesanan,17,13,1869.0,1100,21443.0,16266.0
7/4/2021,kue soes,harian,22,21,2865.0,1300,59206.0,41444.0
7/4/2021,risoles,harian,45,45,1067.0,1100,35805.0,40238.0
7/4/2021,tahu isi,harian,32,25,1739.0,1100,52867.0,29845.0
7/4/2021,kue lumpur,pesanan,23,20,2411.0,1200,35510.0,30097.0
7/4/2021,wingko,pesanan,20,15,1523.0,1200,40312.0,24228.0
7/4/2021,lemper,harian,47,40,1566.0,1200,85220.0,56994.0
8/4/2021,bolu kukus,harian,23,19,1180.0,1200,43529.0,22551.0
8/4/2021,kue lapis,pesanan,28,24,2371.0,1100,28956.0,35931.0
8/4/2021,kue soes,pesanan,16,12,3101.0,1300,29192.0,16124.0
8/4/2021,risoles,harian,10,10,2459.0,1100,16580.0,7701.0
8/4/2021,tahu isi,harian,47,41,2880.0,1100,62679.0,41487.0
8/4/2021,kue lumpur,pesanan,21,15,448.0,1200,37889.0,31935.0
8/4/2021,wingko,harian,50,47,2735.0,1200,135310.0,59234.0
8/4/2021,lemper,pesanan,12,7,1607.0,1200,15895.0,10157.0
8/4/2021,es pisang ijo,harian,4,4,15965.0,7000,56359.0,22171.0
9/4/2021,bolu kukus,harian,22,22,2005.0,1200,58274.0,27478.0
9/4/2021,kue lapis,pesanan,49,47,2221.0,1100,120525.0,47683.0
9/4/2021,kue soes,harian,50,47,3462.0,1300,119619.0,67746.0
9/4/2021,risoles,pesanan,13,10,1981.0,1100,17074.0,17966.0
9/4/2021,tahu isi,harian,39,37,2570.0,1100,39164.0,49326.0
9/4/2021,kue lumpur,harian,46,42,2365.0,1200,114612.0,41504.0
9/4/2021,wingko,harian,29,27,2498.0,1200,55694.0,32847.0
9/4/2021,lemper,pesanan,35,32,2251.0,1200,83305.0,40687.0
10/4/2021,bolu kukus,pesanan,37,34,1855.0,1200,73074.0,43123.0
10/4/2021,kue lapis,pesanan,15,12,2127.0,1100,16363.0,19323.0
10/4/2021,kue soes,harian,37,34,3143.0,1300,72828.0,49955.0
10/4/2021,risoles,harian,46,45,1536.0,1100,77942.0,49146.0
10/4/2021,tahu isi,harian,28,24,1999.0,1100,13423.0,29235.0
10/4/2021,kue lumpur,harian,44,42,1204.0,1200,106004.0,49714.0
10/4/2021,wingko,harian,49,43,944.0,1200,116301.0,64066.0
10/4/2021,lemper,harian,38,34,1433.0,1200,42999.0,41326.0
12/4/2021,bolu kukus,harian,18,15,3020.0,1200,18359.0,14677.0
12/4/2021,kue lapis,harian,46,43,2228.0,1100,126120.0,49260.0
12/4/2021,kue soes,harian,45,45,2586.0,1300,114110.0,71263.0
12/4/2021,risoles,harian,35,35,1295.0,1100,40001.0,25047.0
12/4/2021,tahu isi,harian,27,21,2748.0,1100,47587.0,28388.0
12/4/2021,kue lumpur,harian,43,39,1690.0,1200,104351.0,73738.0
12/4/2021,wingko,harian,49,44,5108.0,1200,60983.0,66771.0
12/4/2021,lemper,harian,15,9,1102.0,1200,19472.0,20047.0
13/04/2021,bolu kukus,pesanan,18,16,1195.0,1200,27849.0,26656.0
13/04/2021,kue lapis,harian,20,13,2891.0,1100,40051.0,19613.0
13/04/2021,risoles,harian,20,16,2543.0,1100,45383.0,18174.0
13/04/2021,es pisang ijo,harian,38,34,14725.0,7000,265103.0,235656.0
13/04/2021,bubur sumsum,harian,16,11,3270.0,3000,51693.0,60533.0
13/04/2021,buras,harian,17,11,1373.0,1000,23163.0,17618.0
13/04/2021,tahu isi,harian,29,27,1582.0,1100,66345.0,23160.0
14/04/2021,bolu kukus,harian,28,24,2344.0,1200,51848.0,50847.0
14/04/2021,kue lapis,harian,41,38,2777.0,1100,57783.0,50151.0
14/04/2021,risoles,harian,33,33,2335.0,1100,68004.0,36991.0
14/04/2021,es pisang ijo,harian,33,29,17018.0,7000,468207.0,194272.0
14/04/2021,bubur sumsum,pesanan,25,19,4092.0,3000,116617.0,74489.0
14/04/2021,buras,harian,26,23,1945.0,1000,60551.0,32856.0
14/04/2021,tahu isi,harian,30,28,1238.0,1100,58936.0,38183.0
15/04/2021,bolu kukus,harian,27,26,1714.0,1200,56395.0,45080.0
15/04/2021,kue lapis,harian,45,39,1737.0,1100,121202.0,34034.0
15/04/2021,risoles,harian,14,13,2099.0,1100,30611.0,22181.0
15/04/2021,es pisang ijo,harian,23,20,16352.0,7000,307351.0,153666.0
15/04/2021,bubur sumsum,harian,28,26,6176.0,3000,138264.0,100468.0
15/04/2021,buras,harian,20,18,2244.0,1000,25457.0,18576.0
15/04/2021,tahu isi,harian,13,6,2269.0,1100,15056.0,12932.0
16/04/2021,bolu kukus,harian,40,40,1566.0,1200,78940.0,46139.0
16/04/2021,kue lapis,pesanan,33,29,3287.0,1100,54345.0,43467.0
16/04/2021,risoles,harian,11,9,2959.0,1100,16144.0,13115.0
16/04/2021,es pisang ijo,harian,45,43,19925.0,7000,518644.0,165465.0
16/04/2021,bubur sumsum,harian,43,37,5655.0,3000,202092.0,97074.0
16/04/2021,buras,pesanan,48,42,2180.0,1000,129709.0,36129.0
16/04/2021,tahu isi,harian,25,23,2705.0,1100,35741.0,23089.0
17/04/2021,tahu isi,pesanan,120,120,2784.0,1100,203025.0,67079.0
17/04/2021,risoles,pesanan,110,110,2404.0,1100,194549.0,97057.0
17/04/2021,bolu kukus,harian,13,13,1813.0,1200,13746.0,20056.0
17/04/2021,kue lapis,harian,21,16,1784.0,1100,37013.0,24703.0
17/04/2021,risoles,harian,20,18,2382.0,1100,34311.0,20683.0
17/04/2021,es pisang ijo,harian,29,22,16748.0,7000,445044.0,123568.0
17/04/2021,bubur sumsum,harian,12,7,6494.0,3000,51173.0,25471.0
17/04/2021,buras,harian,37,33,1529.0,1000,82511.0,22589.0
17/04/2021,tahu isi,pesanan,37,34,2355.0,1100,64910.0,63428.0
18/04/2021,bolu kukus,pesanan,31,28,1610.0,1200,34128.0,39083.0
18/04/2021,kue lapis,harian,23,17,1996.0,1100,24298.0,21834.0
18/04/2021,risoles,harian,34,30,1995.0,1100,65171.0,30008.0
18/04/2021,es pisang ijo,harian,32,30,13536.0,7000,639288.0,187330.0
18/04/2021,bubur sumsum,pesanan,34,32,2769.0,3000,159518.0,62823.0
18/04/2021,buras,harian,36,31,1253.0,1000,39433.0,38916.0
18/04/2021,tahu isi,harian,18,15,1933.0,1100,41412.0,23532.0
19/04/2021,bolu kukus,harian,47,46,2216.0,1200,91588.0,63390.0
19/04/2021,kue lapis,harian,38,31,1990.0,1100,61722.0,47784.0
19/04/2021,risoles,harian,11,11,2585.0,1100,20594.0,7379.0
19/04/2021,es pisang ijo,pesanan,25,19,17944.0,7000,314326.0,88332.0
19/04/2021,bubur sumsum,harian,15,11,2977.0,3000,46688.0,64039.0
19/04/2021,buras,pesanan,17,15,1790.0,1000,16322.0,25642.0
19/04/2021,tahu isi,harian,43,40,1855.0,1100,84027.0,40434.0
20/04/2021,bolu kukus,harian,44,42,1765.0,1200,65423.0,42868.0
20/04/2021,kue lapis,harian,21,17,1092.0,1100,30168.0,30279.0
20/04/2021,risoles,harian,31,28,2359.0,1100,31589.0,31775.0
20/04/2021,es pisang ijo,harian,18,13,15737.0,7000,143446.0,160930.0
20/04/2021,bubur sumsum,harian,31,28,6424.0,3000,131917.0,104868.0
20/04/2021,buras,pesanan,30,24,2444.0,1000,57806.0,21931.0
20/04/2021,tahu isi,harian,35,28,2806.0,1100,68587.0,44667.0
21/04/2021,bolu kukus,pesanan,34,32,2448.0,1200,37606.0,29701.0
21/04/2021,kue lapis,pesanan,10,8,3079.0,1100,10816.0,6931.0
21/04/2021,risoles,harian,40,40,1875.0,1100,90944.0,53077.0
21/04/2021,es pisang ijo,harian,18,11,10698.0,7000,103856.0,135703.0
21/04/2021,bubur sumsum,harian,25,20,3011.0,3000,159722.0,107918.0
21/04/2021,buras,pesanan,27,24,2576.0,1000,28397.0,34239.0
21/04/2021,tahu isi,harian,28,23,2346.0,1100,49163.0,30534.0
22/04/2021,bolu kukus,harian,16,15,1236.0,1200,43638.0,19768.0
22/04/2021,kue lapis,harian,24,22,1664.0,1100,44165.0,34657.0
22/04/2021,risoles,harian,16,15,2376.0,1100,17722.0,17697.0
